Player,Cost,Pos,OFF,TEC,STA,DEF,POW,SPD,Total,Special Skills,Red Positions,Series
Juanfran,30,DF,725,785,594,698,740,740,4282,Early Cross + Speedster,RSB+RMF,CLS3 (2014-15 Season1)
Chiellini,30,DF,384,659,674,1025,998,485,4225,Chasing + Aerial Duel,CB,CLS3 (2014-15 Season1)
Arda Turan,30,MF,867,904,657,567,660,720,4375,Stealth Pass + Feint Dribble,OMF+RMF,CLS3 (2014-15 Season1)
Pjanić,30,MF,887,947,657,561,561,735,4348,Long Ranger + Stealth Pass,OMF,CLS3 (2014-15 Season1)
Matuidi,30,MF,527,648,735,894,736,769,4309,Stealth Pass + Chasing,DMF+OMF,CLS3 (2014-15 Season1)
Totti,30,FW,902,998,495,537,871,485,4288,Striker's Instinct + Stealth Pass,CF+OMF+LWG,CLS3 (2014-15 Season1)
I. Casillas,29,GK,396,852,555,984,726,637,4150,The Sentinel,GK ,CLS3 (2014-15 Season1)
Evra,29,DF,540,660,660,838,753,655,4106,Tackle + Aerial Duel,LSB+LMF,CLS3 (2014-15 Season1)
Varane,29,DF,495,648,495,880,980,628,4126,Power Tackle,CB,CLS3 (2014-15 Season1)
Benatia,29,DF,495,669,695,901,859,628,4247,Power Tackle,CB+RSB ,CLS3 (2014-15 Season1)
Dante,29,DF,431,692,436,936,956,659,4110,Aerial Duel,CB+LSB,CLS3 (2014-15 Season1)
Maicon,29,DF,679,655,655,684,709,709,4091,Elegant Cross,RSB,CLS3 (2014-15 Season1)
Alaba,29,DF,657,666,683,718,693,701,4118,Elegant Cross,LSB,CLS3 (2014-15 Season1)
I. Rakitić,29,MF,867,803,669,517,627,678,4161,Long Ranger,RMF+OMF+DMF,CLS3 (2014-15 Season1)
Marchisio,29,MF,715,813,698,681,643,643,4193,Block Buster,OMF+DMF,CLS3 (2014-15 Season1)
Lucas,29,MF,902,667,532,475,514,957,4047,Speedster,RMF+OMF+RWG,CLS3 (2014-15 Season1)
Motta,29,MF,684,884,514,681,685,649,4097,Killer Pass,DMF,CLS3 (2014-15 Season1)
Raúl García,29,MF,857,784,584,524,663,768,4180,Elegant Cross,RMF+OMF+CF,CLS3 (2014-15 Season1)
Pedro,29,FW,887,787,507,495,602,885,4163,Speedster,LWG+RWG,CLS3 (2014-15 Season1)
J. Moutinho,28,MF,813,789,730,547,576,626,4081,Killer Pass,OMF+RMF,CLS3 (2014-15 Season1)
Nainggolan,28,MF,784,799,700,576,576,646,4081,Killer Pass,LMF+OMF+DMF,CLS3 (2014-15 Season1)
Berbatov,28,FW,907,793,699,437,602,649,4087,Unstoppable Header,CF+OMF,CLS3 (2014-15 Season1)
Griezmann,28,FW,934,758,684,418,595,724,4113,Striker's Instinct,LWG+LMF+OMF,CLS3 (2014-15 Season1)
Cole,27,DF,742,619,709,568,622,672,3932,Power Tackle,LSB,CLS3 (2014-15 Season1)
Van der Wiel,27,DF,746,632,682,569,634,684,3947,Elegant Cross,RSB,CLS3 (2014-15 Season1)
Messi,36,FW,1068,1075,650,648,635,1041,5117,Trick Shot + Speedster,CF+RWG,CLS2 (2013-14 Season2)
Ronaldo,36,FW,1048,955,548,657,895,1049,5152,Speed Dribble + Striker's Instinct,CF+LWG+LMF,CLS2 (2013-14 Season2)
Ribery,35,MF,1009,1005,689,637,684,1006,5030,Early Cross + Speedster,LMF+LWG,CLS2 (2013-14 Season2)
A. Iniesta,35,MF,996,1003,769,674,680,825,4947,Stealth Pass + Technician,OMF+LMF+LWG,CLS2 (2013-14 Season2)
Xavi,35,MF,962,1062,753,704,684,784,4949,Stealth Pass + Technician,OMF+DMF,CLS2 (2013-14 Season2)
Ibrahimović,35,FW,1069,825,725,602,1084,722,5027,Striker's Instinct + Bullet Shot,CF,CLS2 (2013-14 Season2)
Lahm,34,DF,733,774,871,867,751,809,4805,Early Cross + Chasing,RSB+LSB+DMF,CLS2 (2013-14 Season2)
Bale,34,MF,1021,774,692,574,624,1086,4771,Striker's Instinct + Speedster,OMF+RMF+LMF+RWG+LWG,CLS2 (2013-14 Season2)
Robben,34,MF,1045,881,437,558,847,1047,4815,Bullet Shot + Speed Dribble,RMF+LMF+RWG,CLS2 (2013-14 Season2)
Neuer,33,GK,501,961,625,1084,971,821,4963,The Sentinel + Quick Save,GK,CLS2 (2013-14 Season2)
T. Silva,33,DF,495,685,692,1063,874,833,4642,Chasing + Frontline Feed,CB,CLS2 (2013-14 Season2)
Diego Costa,33,FW,1030,734,552,522,931,855,4603,Striker's Instinct + First Time Volley,CF,CLS2 (2013-14 Season2)
Neymar Jr,33,FW,984,996,663,588,495,983,4709,Trick Shot + Technician,CF+LWG,CLS2 (2013-14 Season2)
Pique,32,DF,527,836,614,974,902,607,4460,Chasing + Frontline Feed,CB,CLS2 (2013-14 Season2)
Schweinsteiger,32,MF,752,769,740,749,761,772,4543,Bullet Shot + Chasing,OMF+DMF+RMF,CLS2 (2013-14 Season2)
Sneijder,32,MF,993,993,402,510,715,904,4517,Long Ranger + Stealth Pass,OMF+RMF+LMF,CLS2 (2013-14 Season2)
I. Casillas,31,GK,426,954,517,1034,946,833,4710,The Sentinel + Quick Save,GK,CLS2 (2013-14 Season2)
Modrić,31,MF,880,902,700,577,536,770,4365,Frontline Feed + Killer Pass,OMF+DMF,CLS2 (2013-14 Season2)
Fábregas,31,MF,856,962,735,634,701,579,4467,Striker's Instinct + Frontline Feed,OMF+CF,CLS2 (2013-14 Season2)
Mandžukić,31,FW,995,784,596,468,874,693,4410,Striker's Instinct + First Time Volley,CF,CLS2 (2013-14 Season2)
Sergio Ramos,30,DF,468,578,710,945,854,688,4243,Chasing + Aerial Duel,CB+RSB,CLS2 (2013-14 Season2)
Dani Alves,30,DF,698,582,582,724,749,902,4237,Chasing + Speed Dribble,RSB,CLS2 (2013-14 Season2)
Montolivo,30,MF,777,908,674,666,685,584,4294,Stealth Pass + Frontline Feed,OMF+DMF+RMF,CLS2 (2013-14 Season2)
Alonso,30,MF,788,924,702,647,574,659,4294,Stealth Pass + Frontline Feed,DMF,CLS2 (2013-14 Season2)
Müller,30,FW,874,752,768,589,872,619,4474,Stealth Pass + Speed Dribble,CF+OMF+RMF,CLS2 (2013-14 Season2)
Drogba,30,FW,945,752,548,489,993,652,4379,Striker's Instinct + Unstoppable Header,CF,CLS2 (2013-14 Season2)
Cavani,30,FW,952,788,569,496,771,759,4335,Striker's Instinct + Chasing,CF+RWG,CLS2 (2013-14 Season2)
Pepe,29,DF,433,628,368,938,968,738,4073,Chasing + Aerial Duel,CB,CLS2 (2013-14 Season2)
Marcelo,29,DF,782,693,668,592,537,816,4088,Early Cross + Speedster,LSB,CLS2 (2013-14 Season2)
Alaba,29,DF,657,666,683,718,693,701,4118,Elegant Cross,LSB,CLS2 (2013-14 Season2)
Gabi,29,MF,774,652,571,584,761,707,4049,Stealth Pass + Frontline Feed,OMF+DMF,CLS2 (2013-14 Season2)
Götze,29,MF,992,947,442,427,662,842,4312,Trick Shot + Stealth Pass,LMF+OMF+RMF+CF,CLS2 (2013-14 Season2)
Kroos,29,MF,952,774,541,432,752,698,4149,Long Ranger + Early Cross,OMF,CLS2 (2013-14 Season2)
Di María,29,FW,902,752,507,487,574,915,4137,Early Cross + Technician,RWG+RMF+OMF+LMF,CLS2 (2013-14 Season2)
Benzema,29,FW,934,648,669,435,784,649,4119,Striker's Instinct + Stealth Pass,CF,CLS2 (2013-14 Season2)
Godín,28,DF,428,597,484,914,859,706,3988,Destroyer,CB,CLS2 (2013-14 Season2)
Dante,28,DF,412,688,419,927,646,697,3989,Aerial Duel,CB+LSB,CLS2 (2013-14 Season2)
Kaka',28,MF,908,911,470,427,531,754,4001,Trick Shot + Technician,OMF+LMF,CLS2 (2013-14 Season2)
Raul Garcia,28,MF,834,774,675,524,758,487,4052,Elegant Cross,OMF+RMF,CLS2 (2013-14 Season2)
Koke,28,MF,861,812,628,468,495,692,3956,Early Cross + Frontline Feed,OMF+DMF+LMF,CLS2 (2013-14 Season2)
Isco,28,MF,847,924,600,475,552,567,3965,Killer Pass,OMF+LMF,CLS2 (2013-14 Season2)
Motta,28,MF,657,781,512,674,684,647,3955,Killer Pass,DMF,CLS2 (2013-14 Season2)
Sergio,28,MF,628,635,655,693,740,584,3935,Flamboyant Feed,DMF,CLS2 (2013-14 Season2)
Balotelli,28,FW,933,524,589,399,940,639,4024,Striker's Instinct + Block Buster,CF,CLS2 (2013-14 Season2)
Courtois,27,GK,322,917,510,951,968,688,4356,Shield of Iron,GK,CLS2 (2013-14 Season2)
Boateng,27,DF,415,539,462,867,821,770,3874,Power Tackle,CB+RSB,CLS2 (2013-14 Season2)
Martinez,27,MF,587,624,658,712,728,574,3883,Destroyer,DMF+CB,CLS2 (2013-14 Season2)
David Villa,27,FW,908,746,524,401,605,722,3906,Striker's Instinct,CF+LWG,CLS2 (2013-14 Season2)
Lavezzi,27,FW,851,657,556,465,548,905,3982,Speed Dribble,CF+LWG+LWF,CLS2 (2013-14 Season2)
Messi,37,FW,1135,1077,735,596,622,1031,5196,Striker's Instinct + Technician,CF+RWG,EUS2 (2014-15)
Ronaldo,37,FW,1111,888,633,625,961,1050,5268,Striker's Instinct + Speedster,CF+ LWG+LMF,EUS2 (2014-15)
Neuer,36,GK,585,1029,648,1128,988,968,5346,The Sentinel + Quick Save,GK,EUS2 (2014-15)
Hazard,35,MF,985,887,678,674,751,995,4970,Striker's Instinct + Speedster,LWG+LMF,EUS2 (2014-15)
Godín,34,DF,585,742,735,1027,1049,696,4834,Tackle + Aerial Duel,CB,EUS2 (2014-15)
Tevez,34,FW,974,784,711,636,884,862,4851,Striker's Instinct + First Time Volley,CF,EUS2 (2014-15)
Alexis,34,FW,1010,915,678,600,684,935,4822,Long Ranger + Early Cross,RWG+CF+LMF+OMF,EUS2 (2014-15)
Kun Agüero,34,FW,1021,979,535,585,691,995,4806,Striker's Instinct+ Speed Dribble,CF+LWG,EUS2 (2014-15)
Lloris,34,GK,527,951,654,1075,945,856,5008,The Sentinel + Quick Save,GK,EUS2 (2014-15)
Courtois,34,GK,538,975,636,1061,938,851,4999,The Sentinel + Quick Save,GK,EUS2 (2014-15)
Buffon,34,GK,502,1011,640,1098,953,781,4985,The Sentinel + Quick Save,GK,EUS2 (2014-15)
Alonso,34,MF,802,1105,611,795,795,669,4777,Stealth Pass + Frontline Feed,DMF+OMF,EUS2 (2014-15)
Marcelo,33,DF,840,818,788,720,702,822,4690,Cross + Speedster,LSB,EUS2 (2014-15)
David Luiz,33,DF,836,854,608,730,868,792,4688,Long Ranger + Aerial Duel,CB + DMF,EUS2 (2014-15)
Diego Costa,33,FW,989,673,637,576,1058,768,4701,Speedster + First Time Volley,CF,EUS2 (2014-15)
Müller,33,FW,984,801,810,569,748,749,4661,Striker's Instinct + First Time Volley,CF+RWG+OMF,EUS2 (2014-15)
Toure Yaya,33,MF,817,763,731,758,900,741,4710,Bullet Shot + Chasing,DMF+OMF,EUS2 (2014-15)
Kroos,33,MF,922,974,714,637,702,703,4652,Long Ranger + Stealth Pass,OMF+DMF,EUS2 (2014-15)
Baines,32,DF,798,792,793,742,667,817,4609,Early Cross + Chasing,LSB + LMF,EUS2 (2014-15)
Ivanović,32,DF,689,754,693,855,995,648,4634,Chasing + Aerial Duel,CB + RSB,EUS2 (2014-15)
Mandžukić,32,FW,974,674,674,537,954,736,4549,Striker's Instinct + First Time Volley,CF,EUS2 (2014-15)
Handanovic,32,GK,500,889,608,1008,905,808,4718,The Sentinel + Quick Save,GK,EUS2 (2014-15)
S. Cazorla,32,MF,948,1026,559,561,529,887,4510,Stealth Pass + Technician,OMF+LWG+LMF,EUS2 (2014-15)
Sergio,32,MF,574,857,785,926,758,584,4484,Tackle + Stealth Pass,DMF,EUS2 (2014-15)
Gervinho,31,FW,915,687,747,574,557,979,4459,Striker's Instinct + Speed Dribble,LWG+RWG,EUS2 (2014-15)
V. Persie,31,FW,957,896,504,512,922,603,4394,Striker's Instinct + Long Ranger,CF+LWG,EUS2 (2014-15)
C. Bravo,31,GK,496,861,586,996,894,814,4647,The Sentinel + Quick Save,GK,EUS2 (2014-15)
Marchisio,31,MF,774,804,748,714,584,814,4438,Block Buster + Stealth Pass,OMF+DMF,EUS2 (2014-15)
Jordi Alba,30,DF,792,679,779,655,426,1015,4346,Chasing + Speed Dribble,LSB + LMF,EUS2 (2014-15)
Skrtel,30,DF,541,642,653,909,958,638,4341,Chasing + Aerial Duel,CB,EUS2 (2014-15)
Mertesacker,30,DF,522,769,572,924,1055,490,4332,Tackle + Aerial Duel,CB,EUS2 (2014-15)
Cavani,30,FW,926,638,690,524,784,780,4342,Striker's Instinct + Chasing,CF+LWG,EUS2 (2014-15)
De Gea,30,GK,477,899,521,975,854,801,4527,The Sentinel + Quick Save,GK,EUS2 (2014-15)
I. Casillas,30,GK,464,896,552,982,874,742,4510,The Sentinel + Quick Save,GK,EUS2 (2014-15)
De Jong,30,MF,547,695,705,895,747,736,4325,Destroyer + Block,DMF,EUS2 (2014-15)
Koke,30,MF,815,925,695,603,501,702,4241,Stealth Pass + Early Cross,LMF+OMF+DMF,EUS2 (2014-15)
Mandanda,29,GK,449,823,526,952,838,778,4366,Shield of Iron,GK,EUS2 (2014-15)
Sirigu,29,GK,437,826,533,966,831,788,4381,Shield of Iron,GK,EUS2 (2014-15)
Otamendi,29,DF,487,561,664,920,931,668,4231,Destroyer,CB,EUS2 (2014-15)
Iturraspe,29,MF,504,653,708,877,774,619,4135,Chasing,DMF,EUS2 (2014-15)
Bruno,29,MF,533,682,667,845,712,697,4136,Power Tackle,DMF,EUS2 (2014-15)
Gonalons,29,MF,480,651,726,896,784,596,4133,Destroyer,DMF,EUS2 (2014-15)
Lacazette,29,FW,927,756,580,476,618,857,4214,Striker's Instinct,CF,EUS2 (2014-15)
Bacca,29,FW,919,668,652,482,739,752,4212,Striker's Instinct,CF+RWG+RMF,EUS2 (2014-15)
Diego Lopez,28,GK,407,843,523,949,824,693,4239,Shield of Iron,GK,EUS2 (2014-15)
Diego Alves,28,GK,418,800,478,939,819,792,4246,Shield of Iron,GK,EUS2 (2014-15)
Cillessen,28,GK,413,846,464,945,865,708,4241,The Sentinel,GK,EUS2 (2014-15)
Hart,28,GK,406,824,444,954,856,760,4244,1-on-1 Focus,GK,EUS2 (2014-15)
Kjær,28,DF,462,570,658,894,908,584,4076,Destroyer,CB,EUS2 (2014-15)
Ignacio Camacho,28,MF,497,616,703,826,701,638,3981,Aerial Duel,DMF,EUS2 (2014-15)
Krychowiak,28,MF,584,637,634,743,844,541,3983,Power Tackle,DMF,EUS2 (2014-15)
J. Moutinho,28,MF,913,755,783,432,535,625,4043,Killer Pass,RWG+OMF+RMF,EUS2 (2014-15)
Eriksen,28,MF,894,712,696,437,533,733,4005,Speedster,LMF+OMF,EUS2 (2014-15)
Di Natale,28,FW,924,856,432,426,674,742,4054,Striker's Instinct,CF,EUS2 (2014-15)
Carlos V,28,FW,906,780,615,415,456,793,3965,Striker's Instinct,CF+RWG+RMF,EUS2 (2014-15)
Berbatov,28,FW,916,846,468,434,794,592,4050,Striker's Instinct,CF+OMF,EUS2 (2014-15)
Lukaku,28,FW,918,628,584,435,866,634,4065,Striker's Instinct,CF,EUS2 (2014-15)
Balotelli,28,FW,913,636,563,439,827,683,4061,Bullet Shot,CF,EUS2 (2014-15)
Ruffier,27,GK,376,849,425,914,805,667,4036,Shield of Iron,GK,EUS2 (2014-15)
Krul,27,GK,360,764,478,925,767,726,4020,Shield of Iron,GK,EUS2 (2014-15)
Begovic,27,GK,363,743,478,920,819,683,4006,Shield of Iron,GK,EUS2 (2014-15)
Bonucci,27,DF,469,521,645,841,859,603,3938,Flamboyant Feed,CB,EUS2 (2014-15)
Hilton,27,DF,455,573,648,860,822,595,3953,Flamboyant Feed,CB,EUS2 (2014-15)
Rojo,27,DF,526,600,620,785,732,682,3945,Destroyer,CB+LSB,EUS2 (2014-15)
Vertonghen,27,DF,443,543,638,874,863,601,3962,Power Tackle,CB+LSB,EUS2 (2014-15)
B. Valero,27,MF,718,842,677,595,554,554,3940,Killer Pass,OMF+DMF,EUS2 (2014-15)
Wijnaldum,27,MF,876,741,666,436,514,714,3947,Speedster,OMF+RWG,EUS2 (2014-15)
Barry,27,MF,578,729,657,732,694,532,3922,Power Tackle,DMF,EUS2 (2014-15)
Sterling,27,MF,894,735,580,417,422,887,3935,Speedster,OMF+RMF+RWG,EUS2 (2014-15)
Mata,27,MF,865,768,636,417,456,696,3838,Killer Pass,OMF+LMF,EUS2 (2014-15)
Muniain,27,FW,888,738,596,394,422,810,3848,Speedster,LWG+LMF,EUS2 (2014-15)
Nolito,27,FW,898,814,551,394,416,796,3869,Striker's Instinct,LWG+LMF,EUS2 (2014-15)
Gignac,27,FW,910,659,588,373,695,618,3843,Striker's Instinct,CF,EUS2 (2014-15)
Ronaldo,33,FW,999,899,511,541,847,1047,4844,Trick Shot + Speedster,CF+LWG+LMF,EUS1 (2013-14 Season2)
Ibrahimović,33,FW,981,792,649,549,967,671,4609,Striker's Instinct + Bullet Shot,CF,EUS1 (2013-14 Season2)
Pique,30,DF,417,699,592,947,855,578,4088,Frontline Feed + Block,CB,EUS1 (2013-14 Season2)
Fábregas,30,MF,901,941,719,521,637,558,4277,Trick Shot + Stealth Pass,OMF+CF,EUS1 (2013-14 Season2)
Chiellini,29,DF,385,501,657,938,870,481,3832,Chasing + Aerial Duel,CB,EUS1 (2013-14 Season2)
Sergio Ramos,29,DF,441,514,691,882,796,668,3992,Chasing + Aerial Duel,CB+RSB,EUS1 (2013-14 Season2)
De Rossi,29,MF,641,661,659,701,823,589,4074,Chasing + Aerial Duel,DMF,EUS1 (2013-14 Season2)
Diego Costa,29,FW,945,836,539,410,566,798,4094,First Time Volley + Speed Dribble,CF,EUS1 (2013-14 Season2)
Drogba,29,FW,936,735,527,452,963,639,4252,Unstoppable Header,CF,EUS1 (2013-14 Season2)
De Jong,28,MF,492,671,547,793,862,536,3901,Chasing + Aerial Duel,DMF,EUS1 (2013-14 Season2)
Pogba,28,MF,739,662,559,587,832,592,3971,Block Buster + Destroyer,OMF+DMF,EUS1 (2013-14 Season2)
Benatia,27,DF,401,535,559,872,885,564,3816,Aerial Duel,CB+RSB,EUS1 (2013-14 Season2)
Matuidi,27,MF,597,619,641,691,722,670,3940,Destroyer,OMF+DMF,EUS1 (2013-14 Season2)
Gonzalo,26,DF,488,525,450,762,800,750,3775,Power Tackle,CB,EUS1 (2013-14 Season2)
B. Valero,26,MF,699,688,593,487,546,546,3559,Killer Pass,OMF+DMF,EUS1 (2013-14 Season2)
Cambiasso,26,MF,580,591,518,651,690,641,3671,Killer Pass,DMF,EUS1 (2013-14 Season2)
N'Koulou,26,DF,439,518,544,792,588,839,3720,Power Tackle,CB,EUS1 (2013-14 Season2)
R. Carvalho,25,DF,378,507,435,829,773,725,3647,Aerial Duel,CB,EUS1 (2013-14 Season2)
Juanfran,25,DF,670,668,568,512,415,716,3549,Elegant Cross,RSB+RMF,EUS1 (2013-14 Season2)
Guarín,25,MF,699,688,593,487,546,546,3559,Bullet Shot,OMF+DMF,EUS1 (2013-14 Season2)
Mavuba,25,MF,563,577,505,639,674,626,3584,Killer Pass,DMF,EUS1 (2013-14 Season2)
I. Rakitić,25,MF,681,655,564,447,519,519,3385,Long Ranger,OMF+DMF,EUS1 (2013-14 Season2)
Messi,35,FW,1045,1037,640,602,616,1029,4969,Trick Shot + Speedster,CF+RWG,5* (2015-16)
Ronaldo,35,FW,1040,937,540,614,949,1024,5104,Striker's Instinct + Technician,CF+LWG+LMF,5* (2015-16)
Neuer,34,GK,547,952,561,1057,934,748,4799,The Sentinel + Quick Save,GK,5* (2015-16)
Suárez,33,FW,999,844,714,548,700,826,4631,Striker's Instinct + Technician,CF+RWG,5* (2015-16)
Ibrahimović,33,FW,1000,874,505,567,1075,717,4738,Striker's Instinct + First Time Volley,CF,5* (2015-16)
Sergio Ramos,32,DF,594,732,685,909,836,745,4501,Chasing + Aerial Duel,CB+RSB,5* (2015-16)
T. Silva,32,DF,565,652,563,964,980,920,4644,Chasing + Flamboyant Feed,CB,5* (2015-16)
Robben,32,MF,996,884,399,540,774,999,4592,Bullet Shot + Speed Dribble,RWG+RMF,5* (2015-16)
Kun Agüero,32,FW,980,826,554,522,674,950,4506,Striker's Instinct + Speed Dribble,CF+LWG,5* (2015-16)
Neymar Jr,32,FW,1025,960,550,495,541,978,4549,Trick Shot + Speedster,CF+LWG,5* (2015-16)
Müller,32,FW,974,815,804,526,741,726,4586,Striker's Instinct + Stealth Pass,CF+RWG+OMF+RMF,5* (2015-16)
Buffon,31,GK,425,931,536,1035,900,667,4494,The Sentinel + Quick Save,GK,5* (2015-16)
Lahm,31,DF,704,768,771,789,647,820,4499,Early Cross + Technician,RSB+RMF+DMF,5* (2015-16)
Silva,31,MF,985,962,452,493,591,902,4385,Stealth Pass + Technician,LMF+OMF+RMF,5* (2015-16)
A. Iniesta,31,MF,967,1024,627,530,557,789,4494,Stealth Pass + Technician,OMF+LMF+LWG,5* (2015-16)
Bale,31,MF,936,655,637,537,678,999,4442,Early Cross + Speed Dribble,OMF+LWG+CF,5* (2015-16)
Alonso,31,MF,778,993,611,702,683,669,4436,Chasing + Frontline Feed,DMF,5* (2015-16)
Lewandowski,31,FW,994,800,602,499,805,784,4484,Striker's Instinct + Unstoppable Header,CF,5* (2015-16)
Godín,30,DF,474,621,562,948,990,602,4197,Chasing + Aerial Duel,CB,5* (2015-16)
Marcelo,30,DF,735,776,574,711,658,887,4341,Early Cross + Speed Dribble,LSB,5* (2015-16)
Özil,30,MF,947,995,537,473,475,805,4232,Long Ranger + Stealth Pass,OMF+RMF+RWG,5* (2015-16)
Toure Yaya,30,MF,724,648,625,700,888,736,4321,Long Ranger + Chasing,DMF+OMF,5* (2015-16)
De Bruyne,30,MF,965,936,620,475,663,663,4322,Early Cross + Speed Dribble,LMF+OMF+RMF,5* (2015-16)
James,30,MF,905,869,570,495,630,741,4210,Striker's Instinct + Speed Dribble,LMF+OMF+RMF,5* (2015-16)
Di María,30,MF,945,811,651,502,516,916,4341,Stealth Pass + Speed Dribble,LMF+LWG+RWG,5* (2015-16)
Alexis,30,FW,967,758,567,451,689,814,4246,Striker's Instinct + Early Cross,CF+LWG,5* (2015-16)
Benzema,30,FW,974,721,603,457,758,794,4307,Decoy Run: Ingenious,CF+LWG,5* (2015-16)
Cavani,30,FW,925,635,692,496,784,741,4273,Striker's Instinct + First Time Volley,CF+RWG,5* (2015-16)
Miranda,29,DF,437,580,567,936,870,685,4075,Chasing + Aerial Duel,CB,5* (2015-16)
Jordi Alba,29,DF,706,547,835,701,426,996,4211,Speedster,LSB+LMF,5* (2015-16)
Hazard,29,MF,914,864,501,480,500,926,4185,Striker's Instinct + Speed Dribble,LMF+LWG,5* (2015-16)
Payet,29,MF,702,768,613,668,631,731,4113,Early Cross + Stealth Pass,OMF+LMF+LWG,5* (2015-16)
Modrić,29,MF,704,874,618,700,487,831,4214,Stealth Pass + Frontline Feed,DMF+OMF,5* (2015-16)
Sneijder,29,MF,967,979,424,439,599,805,4213,Stealth Pass + Feint Dribble,LMF+OMF+RMF,5* (2015-16)
Rooney,29,FW,903,758,584,488,822,670,4225,Striker's Instinct + Chasing,CF+OMF,5* (2015-16)
Higuaín,29,FW,906,777,621,480,710,721,4215,Striker's Instinct + Speed Dribble,CF,5* (2015-16)
Nolito,29,FW,956,824,674,435,512,804,4205,Striker's Instinct + Stealth Pass,LWG+LMF,5* (2015-16)
Cech,28,GK,369,777,536,967,804,726,4179,The Sentinel + Quick Save,GK,5* (2015-16)
Chiellini,28,DF,394,531,643,941,932,530,3971,Aerial Duel,CB,5* (2015-16)
Boateng,28,DF,485,552,481,850,924,784,4076,Power Tackle,CB+RSB,5* (2015-16)
Fábregas,28,MF,884,835,582,438,541,688,3968,Trick Shot + Stealth Pass,DMF+OMF+CF,5* (2015-16)
Mata,28,MF,894,805,665,435,428,814,4041,Speedster,LMF+OMF+RMF,5* (2015-16)
De Rossi,28,MF,494,574,628,841,771,687,3995,Chasing + Aerial Duel,DMF+CB,5* (2015-16)
Koke,28,MF,771,900,628,550,480,640,3969,Early Cross + Stealth Pass,LMF+OMF+RMF,5* (2015-16)
I. Rakitić,28,MF,830,777,571,401,474,684,3737,Killer Pass,DMF+OMF+RMF,5* (2015-16)
Sergio,28,MF,444,705,759,895,709,584,4096,Destroyer,DMF,5* (2015-16)
Diego Costa,28,FW,874,591,634,476,905,636,4116,Unstoppable Header,CF,5* (2015-16)
Gervinho,28,FW,924,574,584,401,569,914,3966,Speedster,LWG+CF+RWG,5* (2015-16)
Griezmann,28,FW,854,645,635,478,598,795,4005,Speedster,CF+LWG+LMF,5* (2015-16)
Lloris,27,GK,385,715,550,920,778,584,3932,Shield of Iron,GK,5* (2015-16)
Kompany,27,DF,410,540,460,863,823,771,3867,Power Tackle,CB,5* (2015-16)
B. Valero,27,MF,685,822,570,609,525,673,3884,Killer Pass,DMF+OMF,5* (2015-16)
Hamsik,27,MF,895,854,524,400,496,696,3865,Long Ranger,DMF+OMF+RMF,5* (2015-16)
Pjanić,27,MF,870,900,582,452,547,647,3998,Long Ranger,OMF,5* (2015-16)
Vardy,27,FW,907,514,663,367,561,805,3817,Striker's Instinct,CF+LWG+LMF,5* (2015-16)
Icardi,27,FW,906,679,630,305,533,630,3683,Striker's Instinct,CF,5* (2015-16)
Bacca,27,FW,887,536,684,427,579,847,3960,Striker's Instinct,CF+RWG+RMF,5* (2015-16)
Kuyt,27,FW,695,758,847,657,554,712,4223,Striker's Instinct + Early Cross,CF+RWG+RMF+RSB+LSB,5* (2015-16)
Handanovic,26,GK,302,800,462,940,800,584,3888,The Sentinel,GK,5* (2015-16)
Bonucci,26,DF,415,539,452,832,800,760,3798,Power Tackle,CB,5* (2015-16)
Cabaye,26,MF,628,808,558,638,509,659,3800,Technician,DMF+OMF,5* (2015-16)
Insigne,26,FW,894,612,661,377,360,967,3871,Speedster,CF+LWG,5* (2015-16)
Totti,26,FW,814,884,418,447,851,426,3840,Striker's Instinct,CF+LWG+OMF,5* (2015-16)
Lacazette,26,FW,884,605,655,374,554,755,3827,Speedster,CF+RWG,5* (2015-16)
Hart,25,GK,326,702,485,877,726,652,3768,The Sentinel,GK,5* (2015-16)
Koscielny,25,DF,350,507,438,874,772,724,3665,Aerial Duel,CB,5* (2015-16)
Matic,25,MF,,,,,,,0,Flamboyant Feed,DMF,5* (2015-16)
Gabi,25,MF,636,678,530,567,574,626,3611,Killer Pass,DMF+OMF,5* (2015-16)
Verratti,25,MF,554,720,520,686,571,674,3725,Flamboyant Feed,DMF+OMF,5* (2015-16)
Lukaku,25,FW,925,626,551,366,754,685,3907,Unstoppable Header,CF,5* (2015-16)
Mustafi,24,DF,326,495,400,831,752,696,3500,Destroyer,CB,5* (2015-16)
Biglia,24,MF,,,,,,,0,Killer Pass,DMF+OMF,5* (2015-16)
Éver Banega,24,MF,488,612,608,674,501,623,3506,Technician,DMF+OMF,5* (2015-16)
Matuidi,24,MF,487,501,610,672,611,624,3505,Destroyer,DMF+OMF,5* (2015-16)
Jovetic,24,FW,,,,,,,0,Technician,CF+OMF,5* (2015-16)
Soldado,24,FW,868,741,596,278,487,551,3521,Technician,CF,5* (2015-16)
Messi,34,FW,1036,1036,639,482,615,1025,4833,Trick Shot + Technician,RWG+CF,5* (2014-15 Season1)
Ronaldo,34,FW,1042,936,533,473,947,1047,4978,Striker's Instinct + Technician,LWG+LMF+CF,5* (2014-15 Season1)
Ibrahimović,33,FW,999,863,500,562,1062,716,4702,Striker's Instinct + First Time Volley,CF,5* (2014-15 Season1)
